Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Random Forest,0.991869918699187,0.9920658242727006,0.991869918699187,0.991869918699187,0.9744897959183675,0.019627942920072795
XGBoost,0.991869918699187,0.9920658242727006,0.991869918699187,0.991869918699187,0.9734693877551021,0.010406162272638343
Extra Trees,0.991869918699187,0.9920658242727006,0.991869918699187,0.991869918699187,0.9816326530612244,0.01232963874856592
Gradient Boosting,0.983739837398374,0.9845050215208034,0.983739837398374,0.9837350002237195,0.9663265306122449,0.02154970620606416
Decision Tree,0.959349593495935,0.9594985697891737,0.959349593495935,0.959142859503508,0.936734693877551,0.02154970620606416
SVM (RBF),0.9471544715447154,0.9481345328613722,0.9471544715447154,0.9474341494489957,0.9091836734693878,0.021011490083646948
KNN,0.9308943089430894,0.9313029638232891,0.9308943089430894,0.9309404210239239,0.9204081632653061,0.024701466197775936
Logistic Regression,0.926829268292683,0.9275705108811798,0.926829268292683,0.9270361759651586,0.9071428571428571,0.013460108120686628
AdaBoost,0.8577235772357723,0.8584405156220873,0.8577235772357723,0.8579391355923001,0.8387755102040817,0.036734693877551024
Naive Bayes,0.6422764227642277,0.7442064101037341,0.6422764227642277,0.6346428642099777,0.636734693877551,0.023580040833247638
